parroquia,z_ebp,ee,cv
91350,442.15,80.06800681012515,0.18108788151108257
91450,460.58,58.62731638096576,0.12729019145635018
91451,387.41,69.89537987412544,0.18041707718986458
91452,425.53,71.02689862948036,0.16691396289211186
91650,1454.45,51.53501624587601,0.03543264893662622
91651,406.66,45.31124214398813,0.11142291384446006
91850,365.2,32.58951188207537,0.08923743669790628
91950,379.39,31.566573467076118,0.08320349367952798
91951,307.34,40.21087685029041,0.1308351560170834
91952,280.55,29.805358899004002,0.10623902655143112
91953,311.25,27.827261433184088,0.08940485601023
92050,568.65,101.60792308207495,0.1786827100713531
92053,534.34,61.50894040076396,0.11511198937149372
92055,421.48,50.98353309717738,0.12096311354554753
92056,527.28,58.29977141568536,0.11056700693310076
92150,659.95,55.78120964953877,0.08452338760442271
92250,442.93,56.30967124544476,0.12712995562604645
92251,314.99,47.17413987288545,0.1497639286100684
92350,545.39,55.72181449714795,0.10216874988017374
92450,576.9,65.62260053654254,0.11375039094564489
92550,447.78,42.19090747827034,0.09422240269389062
92750,568.92,99.38619764796462,0.17469274704345888
92850,576.42,50.36962794451625,0.0873835535625347
100150,771.68,13.067543301682349,0.01693388879027881
100151,514.29,29.298633514860825,0.05696909042536473
100152,410.3,57.05906035716123,0.1390666837854283
100153,445.42,85.14061942460471,0.19114682642136568
100154,685.22,44.94905271539373,0.06559798709231156
100155,398.91,52.12968995717704,0.13068032878889232
100156,552.7,43.0945124762243,0.07797089284643441
100157,556.35,39.56167864277173,0.07110933520764219
100250,668.75,26.3841458854355,0.03945292842681944
100251,765.7,58.5359168194882,0.07644758628638919
100252,787.8,72.92937230801964,0.09257346066009094
100253,668.66,50.28641570876522,0.07520476132678076
100254,624.48,40.33310804403687,0.06458670901235727
100350,619.46,32.73332518226449,0.05284170920198961
100351,345.98,43.029435286110036,0.12436971872972435
100352,491.35,22.022788712654712,0.044820980385986996
100353,387.51,30.145568085161965,0.07779300685185406
100354,334.51,42.91848631391342,0.12830255093693288
100355,446.35,64.98093473005122,0.1455829163885991
100356,460.4,39.22399293920298,0.08519546685317764
100357,327.59,45.04879585487978,0.1375157845321279
100358,526.33,59.91923261738234,0.11384346819938505
100450,622.99,17.46749144769526,0.028038157029318705
100451,522.81,44.26233692862326,0.0846623762526028
100452,422.81,28.09702645582411,0.06645307929288359
100453,779.93,41.37656007273325,0.05305163293210064
100454,491.34,110.95347411650252,0.22581811803741306
100455,521.85,26.964847206065944,0.05167164358736408
100456,295.1,42.61376005659808,0.14440447325177255
100457,701.59,48.92092901928102,0.06972865779056289
100458,299.0,30.949021131299766,0.10350843187725674
100459,522.67,57.00897431129166,0.10907259707136753
100550,610.83,30.30439936590924,0.049611838589966505
100551,302.23,56.88730676835175,0.1882252151287157
100552,343.54,28.906435641265524,0.08414285277192037
100553,356.01,42.19234724011757,0.11851450026717668
100650,705.92,42.55617263557483,0.06028469604994169
100651,458.73,43.19926422208776,0.09417143902096606
100652,325.7,44.36422594776951,0.13621193106468993
100653,448.72,43.62203345463832,0.09721437300463166
100654,432.87,50.09118174836319,0.11571876486788918
100655,524.79,67.01485042321143,0.12769841350485228
110150,790.83,12.556916473970912,0.015878148873931075
110151,310.75,63.727038788163455,0.20507494380744476
110152,358.74,32.00775610945997,0.08922271313335554
110153,415.71,40.69456754671482,0.09789172150469035
110154,312.28,57.2303552579027,0.18326615619925293
110155,350.68,54.59058365479601,0.1556706503216494
110156,451.48,48.00487236707779,0.10632779384929074
110157,393.83,69.20589010512704,0.1757252878275577
110158,419.12,73.7672410182463,0.17600506064670332
110159,296.06,53.195461813020806,0.17967797680544756
110160,398.03,36.30626123250979,0.09121488639677862
110161,482.07,32.26170389885143,0.06692327649273223
110162,356.17,65.16861414420838,0.18297053133112945
110163,295.35,51.06560005329436,0.17289859506786645
110250,532.25,27.3090095950617,0.05130861361214035
110251,338.79,66.00763629434063,0.19483348473786305
110252,329.07,55.04153766815237,0.16726391852235808
110253,251.15,33.57830667637721,0.13369821491689113
110254,240.81,37.77450677871626,0.1568643610261877
110350,509.91,25.92078972262435,0.05083404860195789
110351,310.14,23.325660426169247,0.07521010003923792
110352,373.72,70.48910148744416,0.18861474228685687
110353,513.33,42.33341721830015,0.0824682313878015
110354,353.86,70.69110720118671,0.19977139886165915
110450,778.37,43.81908019057077,0.05629595204153651
110451,356.91,52.56126154083798,0.1472675507574402
110455,392.3,50.187150293565296,0.12793053860200176
110456,309.05,58.34177994863504,0.1887778027783046
110457,436.47,73.4565745505237,0.16829696096071595
110550,490.79,43.67276145723749,0.08898461960764785
110551,394.11,60.568597665404425,0.15368449840248768
